Index;ID;Spoj;Linka;ZastavkaStart;ZastavkaFinish;CasStart;CasFinish;Trvanie;Vzdialenost;Spotreba
0;"0";"1000";"0";0;0;240;240;0;0.0;0.0
1;"328";"186";"26";72;58;301;330;29;10.085;15.0
2;"357";"78";"26";72;58;316;345;29;10.085;15.0
3;"341";"39";"26";72;58;321;350;29;10.085;15.0
4;"311";"152";"26";60;72;327;353;26;8.766;13.0
5;"329";"188";"26";58;72;333;363;30;9.946;14.0
6;"358";"80";"26";58;72;353;383;30;9.946;14.0
7;"312";"156";"26";72;58;356;385;29;10.085;15.0
8;"330";"192";"26";72;58;371;400;29;10.085;15.0
9;"342";"41";"26";58;72;383;413;30;9.946;14.0
10;"359";"84";"26";72;58;388;417;29;10.085;15.0
11;"313";"158";"26";58;72;393;423;30;9.946;14.0
12;"331";"194";"26";58;72;413;443;30;9.946;14.0
13;"343";"45";"26";72;58;416;445;29;10.085;15.0
14;"360";"86";"26";58;72;425;455;30;9.946;14.0
15;"314";"162";"26";72;58;431;460;29;10.085;15.0
16;"332";"198";"26";72;58;446;475;29;10.085;15.0
17;"344";"47";"26";58;72;448;478;30;9.946;14.0
18;"315";"164";"26";58;42;483;499;16;5.418;8.0
19;"333";"200";"26";58;72;513;543;30;9.946;14.0
20;"334";"204";"26";72;58;555;584;29;10.085;15.0
21;"335";"206";"26";58;72;593;623;30;9.946;14.0
22;"336";"209";"26";72;58;625;654;29;10.085;15.0
23;"337";"211";"26";58;42;663;679;16;5.418;8.0
24;"347";"52";"26";72;58;690;719;29;10.085;15.0
25;"348";"54";"26";58;72;726;756;30;9.946;14.0
26;"349";"58";"26";72;58;760;789;29;10.085;15.0
27;"350";"60";"26";58;72;796;826;30;9.946;14.0
28;"261";"171";"26";72;58;815;844;29;10.085;15.0
29;"363";"91";"26";42;58;815;831;16;5.233;7.0
30;"318";"296";"26";72;58;830;859;29;10.085;15.0
31;"364";"93";"26";58;72;843;873;30;9.946;14.0
32;"351";"65";"26";72;58;845;874;29;10.085;15.0
33;"262";"173";"26";58;72;851;881;30;9.946;14.0
34;"365";"96";"26";72;58;875;904;29;10.085;15.0
35;"319";"298";"26";58;72;876;906;30;9.946;14.0
36;"352";"67";"26";58;72;906;936;30;9.946;14.0
37;"263";"178";"26";72;58;910;939;29;10.085;15.0
38;"320";"303";"26";72;58;935;964;29;10.085;15.0
39;"366";"98";"26";58;72;936;966;30;9.946;14.0
40;"353";"72";"26";72;42;965;978;13;4.852;7.0
41;"264";"180";"26";58;72;966;996;30;9.946;14.0
42;"367";"103";"26";72;58;995;1024;29;10.085;15.0
43;"321";"305";"26";58;72;996;1026;30;9.946;14.0
44;"368";"105";"26";58;72;1026;1056;30;9.946;14.0
45;"322";"309";"26";72;58;1030;1059;29;10.085;15.0
46;"369";"110";"26";72;42;1085;1098;13;4.852;7.0
47;"323";"311";"26";58;72;1086;1116;30;9.946;14.0
48;"497";"165";"26";42;58;1303;1315;12;5.233;7.0
49;"498";"167";"26";58;42;1326;1342;16;5.418;8.0
50;"0";"1000";"0";0;0;1680;1680;0;0.0;0.0
