Index;ID;Spoj;Linka;ZastavkaStart;ZastavkaFinish;CasStart;CasFinish;Trvanie;Vzdialenost;Spotreba
0;"0";"1000";"0";0;0;240;240;0;0.0;0.0
1;"218";"586";"22";11;160;295;326;31;12.247;18.0
2;"449";"126";"27";115;49;295;325;30;13.045;19.0
3;"250";"72";"22";160;11;297;326;29;11.817;17.0
4;"118";"482";"21";43;1;301;324;23;8.315;12.0
5;"143";"497";"21";1;43;305;327;22;8.475;12.0
6;"373";"596";"27";25;115;306;324;18;7.824;11.0
7;"163";"34";"22";160;11;308;337;29;11.817;17.0
8;"428";"106";"27";115;49;310;340;30;13.045;19.0
9;"47";"374";"21";1;45;315;338;23;8.913;13.0
10;"84";"452";"21";43;1;316;339;23;8.315;12.0
11;"182";"4";"22";11;160;320;350;30;12.247;18.0
12;"269";"130";"22";42;160;323;340;17;6.906;10.0
13;"374";"598";"27";115;49;325;355;30;13.045;19.0
14;"392";"192";"27";25;115;326;344;18;7.824;11.0
15;"450";"128";"27";49;115;327;359;32;13.498;20.0
16;"219";"588";"22";160;11;328;357;29;11.817;17.0
17;"251";"74";"22";11;160;329;359;30;12.247;18.0
18;"119";"484";"21";1;45;330;353;23;8.913;13.0
19;"144";"499";"21";43;1;331;354;23;8.315;12.0
20;"393";"194";"27";115;49;345;375;30;13.045;19.0
21;"429";"108";"27";49;115;347;379;32;13.498;20.0
22;"270";"132";"22";160;11;348;377;29;11.817;17.0
23;"164";"36";"22";11;160;350;380;30;12.247;18.0
24;"183";"6";"22";160;11;359;388;29;11.817;17.0
25;"48";"376";"21";45;1;360;384;24;8.785;13.0
26;"451";"130";"27";115;49;360;390;30;13.045;19.0
27;"85";"454";"21";1;45;361;384;23;8.913;13.0
28;"375";"600";"27";49;115;362;394;32;13.498;20.0
29;"220";"590";"22";11;160;365;395;30;12.247;18.0
30;"252";"76";"22";160;11;367;396;29;11.817;17.0
31;"120";"486";"21";45;1;375;399;24;8.785;13.0
32;"145";"501";"21";1;45;378;401;23;8.913;13.0
33;"271";"134";"22";11;160;380;410;30;12.247;18.0
34;"430";"110";"27";115;49;380;410;30;13.045;19.0
35;"394";"196";"27";49;115;382;414;32;13.498;20.0
36;"49";"378";"21";1;45;388;411;23;8.913;13.0
37;"165";"38";"22";160;11;388;417;29;11.817;17.0
38;"86";"456";"21";45;1;390;414;24;8.785;13.0
39;"184";"8";"22";11;160;390;420;30;12.247;18.0
40;"376";"602";"27";115;25;395;415;20;8.612;12.0
41;"452";"132";"27";49;115;397;429;32;13.498;20.0
42;"221";"592";"22";160;11;398;427;29;11.817;17.0
43;"121";"488";"21";1;45;405;428;23;8.913;13.0
44;"146";"503";"21";45;1;405;429;24;8.785;13.0
45;"253";"78";"22";11;160;409;439;30;12.247;18.0
46;"272";"136";"22";160;11;413;442;29;11.817;17.0
47;"395";"198";"27";115;49;415;445;30;13.045;19.0
48;"431";"112";"27";49;115;417;449;32;13.498;20.0
49;"50";"380";"21";45;1;420;444;24;8.785;13.0
50;"87";"458";"21";1;45;420;443;23;8.913;13.0
51;"377";"606";"27";25;115;421;439;18;7.824;11.0
52;"185";"10";"22";160;11;428;457;29;11.817;17.0
53;"166";"40";"22";11;160;430;460;30;12.247;18.0
54;"453";"134";"27";115;25;430;450;20;8.612;12.0
55;"122";"490";"21";45;1;435;459;24;8.785;13.0
56;"147";"505";"21";1;45;435;458;23;8.913;13.0
57;"222";"594";"22";11;160;440;470;30;12.247;18.0
58;"378";"608";"27";115;25;440;460;20;8.612;12.0
59;"273";"138";"22";11;160;445;475;30;12.247;18.0
60;"254";"80";"22";160;42;447;465;18;7.009;10.0
61;"51";"382";"21";1;45;450;473;23;8.913;13.0
62;"88";"460";"21";45;1;450;474;24;8.785;13.0
63;"432";"114";"27";115;25;450;470;20;8.612;12.0
64;"396";"200";"27";49;115;452;484;32;13.498;20.0
65;"123";"492";"21";1;25;465;479;14;4.881;7.0
66;"148";"507";"21";45;1;465;489;24;8.785;13.0
67;"167";"42";"22";160;11;468;497;29;11.817;17.0
68;"52";"384";"21";45;25;480;491;11;4.15;6.0
69;"186";"12";"22";11;160;480;510;30;12.247;18.0
70;"89";"462";"21";1;43;485;507;22;8.475;12.0
71;"533";"453";"27";49;25;487;501;14;5.674;8.0
72;"397";"202";"27";115;25;490;510;20;8.612;12.0
73;"433";"119";"27";25;115;496;514;18;7.824;11.0
74;"168";"44";"22";11;42;510;523;13;5.34;8.0
75;"223";"598";"22";160;11;513;542;29;11.817;17.0
76;"534";"457";"27";25;49;515;525;10;4.433;6.0
77;"149";"509";"21";1;25;520;534;14;4.881;7.0
78;"434";"121";"27";115;25;520;540;20;8.612;12.0
79;"90";"464";"21";43;4;521;542;21;7.481;11.0
80;"535";"459";"27";49;25;532;546;14;5.674;8.0
81;"53";"388";"21";25;43;539;547;8;3.595;5.0
82;"187";"16";"22";160;11;548;577;29;11.817;17.0
83;"224";"600";"22";11;160;550;580;30;12.247;18.0
84;"398";"207";"27";25;115;551;569;18;7.824;11.0
85;"54";"390";"21";43;1;561;584;23;8.315;12.0
86;"91";"466";"21";4;43;562;582;20;7.603;11.0
87;"399";"209";"27";115;25;570;590;20;8.612;12.0
88;"188";"18";"22";11;160;585;615;30;12.247;18.0
89;"225";"602";"22";160;11;588;617;29;11.817;17.0
90;"92";"468";"21";43;4;601;622;21;7.481;11.0
91;"400";"213";"27";25;115;601;619;18;7.824;11.0
92;"55";"392";"21";1;43;605;627;22;8.475;12.0
93;"189";"20";"22";160;11;618;647;29;11.817;17.0
94;"226";"604";"22";11;160;620;650;30;12.247;18.0
95;"401";"215";"27";115;49;620;650;30;13.045;19.0
96;"56";"394";"21";43;1;641;664;23;8.315;12.0
97;"93";"470";"21";4;43;647;667;20;7.603;11.0
98;"190";"22";"22";11;160;655;685;30;12.247;18.0
99;"402";"217";"27";49;115;657;689;32;13.498;20.0
100;"227";"606";"22";160;11;658;687;29;11.817;17.0
101;"191";"24";"22";160;11;688;717;29;11.817;17.0
102;"57";"396";"21";1;43;690;712;22;8.475;12.0
103;"228";"608";"22";11;160;690;720;30;12.247;18.0
104;"94";"472";"21";43;1;691;714;23;8.315;12.0
105;"403";"219";"27";115;25;695;715;20;8.612;12.0
106;"229";"610";"22";160;42;728;746;18;7.009;10.0
107;"192";"26";"22";11;160;730;760;30;12.247;18.0
108;"437";"432";"27";25;49;730;740;10;4.433;6.0
109;"404";"224";"27";25;115;731;749;18;7.824;11.0
110;"95";"474";"21";1;43;735;757;22;8.475;12.0
111;"58";"398";"21";43;1;736;759;23;8.315;12.0
112;"438";"434";"27";49;115;752;784;32;13.498;20.0
113;"405";"226";"27";115;25;755;775;20;8.612;12.0
114;"171";"110";"22";42;11;756;767;11;4.807;7.0
115;"276";"181";"22";42;160;763;780;17;6.906;10.0
116;"96";"476";"21";43;25;771;781;10;3.68;5.0
117;"59";"400";"21";1;45;775;798;23;8.913;13.0
118;"193";"28";"22";160;42;778;796;18;7.009;10.0
119;"172";"112";"22";11;160;780;810;30;12.247;18.0
120;"439";"436";"27";115;49;785;815;30;13.045;19.0
121;"126";"156";"21";25;1;786;799;13;4.635;6.0
122;"230";"143";"22";42;11;786;797;11;4.807;7.0
123;"406";"231";"27";25;115;791;809;18;7.824;11.0
124;"277";"183";"22";160;42;798;816;18;7.009;10.0
125;"60";"402";"21";45;25;800;811;11;4.15;6.0
126;"231";"145";"22";11;160;800;830;30;12.247;18.0
127;"127";"158";"21";1;45;807;830;23;8.913;13.0
128;"407";"233";"27";115;25;810;830;20;8.612;12.0
129;"194";"402";"22";42;11;813;824;11;4.807;7.0
130;"381";"4";"27";25;115;816;834;18;7.824;11.0
131;"173";"114";"22";160;11;818;847;29;11.817;17.0
132;"440";"438";"27";49;115;822;854;32;13.498;20.0
133;"278";"187";"22";42;160;823;840;17;6.906;10.0
134;"195";"404";"22";11;160;825;855;30;12.247;18.0
135;"382";"6";"27";115;49;835;865;30;13.045;19.0
136;"61";"4";"21";25;45;836;845;9;4.033;6.0
137;"128";"160";"21";45;1;840;864;24;8.785;13.0
138;"97";"408";"21";25;1;841;854;13;4.635;6.0
139;"279";"189";"22";160;17;843;865;22;8.497;12.0
140;"232";"147";"22";160;11;848;877;29;11.817;17.0
141;"174";"116";"22";11;160;850;880;30;12.247;18.0
142;"456";"567";"27";25;115;851;869;18;7.824;11.0
143;"62";"6";"21";45;1;852;876;24;8.785;13.0
144;"98";"410";"21";1;45;857;880;23;8.913;13.0
145;"196";"406";"22";160;11;858;887;29;11.817;17.0
146;"441";"440";"27";115;25;865;885;20;8.612;12.0
147;"408";"27";"27";25;115;871;889;18;7.824;11.0
148;"383";"8";"27";49;115;872;904;32;13.498;20.0
149;"280";"194";"22";17;160;873;895;22;8.809;13.0
150;"130";"272";"22";160;11;875;904;29;11.817;17.0
151;"63";"8";"21";1;45;877;900;23;8.913;13.0
152;"233";"149";"22";11;160;880;910;30;12.247;18.0
153;"457";"569";"27";115;25;880;900;20;8.612;12.0
154;"99";"412";"21";45;1;887;911;24;8.785;13.0
155;"175";"118";"22";160;11;888;917;29;11.817;17.0
156;"409";"29";"27";115;49;895;925;30;13.045;19.0
157;"197";"408";"22";11;160;900;930;30;12.247;18.0
158;"281";"196";"22";160;11;903;932;29;11.817;17.0
159;"64";"10";"21";45;1;907;931;24;8.785;13.0
160;"131";"274";"22";11;42;910;923;13;5.34;8.0
161;"442";"445";"27";25;115;911;929;18;7.824;11.0
