Index;ID;Spoj;Linka;ZastavkaStart;ZastavkaFinish;CasStart;CasFinish;Trvanie;Vzdialenost;Spotreba
0;"0";"1000";"0";0;0;240;240;0;0.0;0.0
1;"449";"126";"27";115;49;295;325;30;13.045;19.0
2;"373";"596";"27";25;115;306;324;18;7.824;11.0
3;"428";"106";"27";115;49;310;340;30;13.045;19.0
4;"374";"598";"27";115;49;325;355;30;13.045;19.0
5;"392";"192";"27";25;115;326;344;18;7.824;11.0
6;"450";"128";"27";49;115;327;359;32;13.498;20.0
7;"393";"194";"27";115;49;345;375;30;13.045;19.0
8;"429";"108";"27";49;115;347;379;32;13.498;20.0
9;"451";"130";"27";115;49;360;390;30;13.045;19.0
10;"375";"600";"27";49;115;362;394;32;13.498;20.0
11;"430";"110";"27";115;49;380;410;30;13.045;19.0
12;"394";"196";"27";49;115;382;414;32;13.498;20.0
13;"376";"602";"27";115;25;395;415;20;8.612;12.0
14;"452";"132";"27";49;115;397;429;32;13.498;20.0
15;"395";"198";"27";115;49;415;445;30;13.045;19.0
16;"431";"112";"27";49;115;417;449;32;13.498;20.0
17;"377";"606";"27";25;115;421;439;18;7.824;11.0
18;"453";"134";"27";115;25;430;450;20;8.612;12.0
19;"378";"608";"27";115;25;440;460;20;8.612;12.0
20;"432";"114";"27";115;25;450;470;20;8.612;12.0
21;"396";"200";"27";49;115;452;484;32;13.498;20.0
22;"533";"453";"27";49;25;487;501;14;5.674;8.0
23;"397";"202";"27";115;25;490;510;20;8.612;12.0
24;"433";"119";"27";25;115;496;514;18;7.824;11.0
25;"534";"457";"27";25;49;515;525;10;4.433;6.0
26;"434";"121";"27";115;25;520;540;20;8.612;12.0
27;"535";"459";"27";49;25;532;546;14;5.674;8.0
28;"398";"207";"27";25;115;551;569;18;7.824;11.0
29;"399";"209";"27";115;25;570;590;20;8.612;12.0
30;"400";"213";"27";25;115;601;619;18;7.824;11.0
31;"401";"215";"27";115;49;620;650;30;13.045;19.0
32;"402";"217";"27";49;115;657;689;32;13.498;20.0
33;"403";"219";"27";115;25;695;715;20;8.612;12.0
34;"437";"432";"27";25;49;730;740;10;4.433;6.0
35;"404";"224";"27";25;115;731;749;18;7.824;11.0
36;"438";"434";"27";49;115;752;784;32;13.498;20.0
37;"405";"226";"27";115;25;755;775;20;8.612;12.0
38;"439";"436";"27";115;49;785;815;30;13.045;19.0
39;"406";"231";"27";25;115;791;809;18;7.824;11.0
40;"407";"233";"27";115;25;810;830;20;8.612;12.0
41;"381";"4";"27";25;115;816;834;18;7.824;11.0
42;"440";"438";"27";49;115;822;854;32;13.498;20.0
43;"382";"6";"27";115;49;835;865;30;13.045;19.0
44;"456";"567";"27";25;115;851;869;18;7.824;11.0
45;"441";"440";"27";115;25;865;885;20;8.612;12.0
46;"408";"27";"27";25;115;871;889;18;7.824;11.0
47;"383";"8";"27";49;115;872;904;32;13.498;20.0
48;"457";"569";"27";115;25;880;900;20;8.612;12.0
49;"409";"29";"27";115;49;895;925;30;13.045;19.0
50;"442";"445";"27";25;115;911;929;18;7.824;11.0
51;"384";"10";"27";115;25;915;935;20;8.612;12.0
52;"458";"574";"27";25;115;926;944;18;7.824;11.0
53;"410";"31";"27";49;115;932;964;32;13.498;20.0
54;"443";"447";"27";115;25;935;955;20;8.612;12.0
55;"459";"576";"27";115;25;955;975;20;8.612;12.0
56;"385";"15";"27";25;115;966;984;18;7.824;11.0
57;"411";"33";"27";115;25;970;990;20;8.612;12.0
58;"386";"17";"27";115;49;985;1015;30;13.045;19.0
59;"460";"581";"27";25;115;996;1014;18;7.824;11.0
60;"412";"38";"27";25;115;1016;1034;18;7.824;11.0
61;"461";"583";"27";115;25;1020;1040;20;8.612;12.0
62;"387";"19";"27";49;115;1022;1054;32;13.498;20.0
63;"413";"40";"27";115;49;1040;1070;30;13.045;19.0
64;"462";"588";"27";25;115;1056;1074;18;7.824;11.0
65;"388";"21";"27";115;25;1060;1080;20;8.612;12.0
66;"463";"590";"27";115;25;1080;1098;18;8.612;12.0
67;"414";"42";"27";49;25;1082;1095;13;5.674;8.0
68;"415";"44";"27";25;115;1116;1133;17;7.824;11.0
69;"416";"46";"27";115;25;1150;1168;18;8.612;12.0
70;"417";"50";"27";25;115;1176;1193;17;7.824;11.0
71;"418";"52";"27";115;25;1200;1218;18;8.612;12.0
72;"419";"57";"27";25;115;1236;1253;17;7.824;11.0
73;"420";"59";"27";115;25;1260;1278;18;8.612;12.0
74;"421";"64";"27";25;115;1286;1303;17;7.824;11.0
75;"422";"66";"27";115;49;1305;1331;26;13.045;19.0
76;"423";"68";"27";49;115;1332;1367;35;13.498;20.0
77;"424";"70";"27";115;25;1368;1383;15;8.612;12.0
78;"0";"1000";"0";0;0;1680;1680;0;0.0;0.0
