Index;ID;Spoj;Linka;ZastavkaStart;ZastavkaFinish;CasStart;CasFinish;Trvanie;Vzdialenost;Spotreba
0;"0";"1000";"0";0;0;240;240;0;0.0;0.0
1;"423";"79";"14";93;92;289;328;39;11.993;17.0
2;"333";"893";"6";49;93;290;323;33;9.623;14.0
3;"1";"4";"1";112;112;295;347;52;16.272;24.0
4;"676";"586";"22";11;160;295;326;31;11.48;17.0
5;"759";"126";"27";115;49;295;325;30;11.856;17.0
6;"38";"449";"3";77;77;297;334;37;10.579;15.0
7;"109";"93";"4";92;93;297;336;39;12.358;18.0
8;"495";"18";"20";92;160;297;321;24;9.837;14.0
9;"806";"99";"29";159;14;297;325;28;11.702;17.0
10;"362";"66";"7";96;49;299;333;34;11.152;16.0
11;"473";"25";"16";49;49;300;338;38;11.335;17.0
12;"587";"482";"21";43;1;301;324;23;7.961;11.0
13;"717";"186";"26";72;58;301;330;29;9.99;14.0
14;"421";"69";"14";93;92;303;343;40;11.993;17.0
15;"264";"60";"6";93;49;305;336;31;9.521;14.0
16;"593";"497";"21";1;43;305;327;22;7.881;11.0
17;"798";"596";"27";25;115;306;324;18;7.217;10.0
18;"878";"61";"31";42;66;306;320;14;5.729;8.0
19;"911";"348";"31";66;112;306;332;26;9.546;14.0
20;"612";"34";"22";160;11;308;337;29;11.288;16.0
21;"10";"70";"1";112;93;309;335;26;7.306;10.0
22;"752";"106";"27";115;49;310;340;30;11.856;17.0
23;"50";"489";"3";77;77;312;349;37;10.579;15.0
24;"142";"202";"4";92;93;312;351;39;12.358;18.0
25;"357";"32";"7";49;96;315;350;35;11.216;16.0
26;"542";"374";"21";1;45;315;338;23;8.468;12.0
27;"838";"4";"30";99;99;315;361;46;17.05;25.0
28;"574";"452";"21";43;1;316;339;23;7.961;11.0
29;"704";"78";"26";72;58;316;345;29;9.99;14.0
30;"162";"34";"5";77;92;318;345;27;7.371;11.0
31;"449";"148";"14";93;92;318;358;40;11.993;17.0
32;"149";"4";"5";92;77;320;345;25;7.504;11.0
33;"241";"4";"6";49;93;320;353;33;9.623;14.0
34;"600";"4";"22";11;160;320;350;30;11.48;17.0
35;"920";"47";"35";207;202;320;335;15;1.565;2.0
36;"693";"39";"26";72;58;321;350;29;9.99;14.0
37;"11";"74";"1";112;92;322;351;29;8.325;12.0
38;"361";"44";"7";96;49;322;356;34;11.152;16.0
39;"496";"21";"20";160;160;323;372;49;18.913;28.0
40;"626";"130";"22";42;160;323;340;17;6.139;9.0
41;"79";"6";"4";92;93;325;364;39;12.358;18.0
42;"334";"895";"6";93;49;325;356;31;9.521;14.0
43;"487";"136";"16";49;49;325;363;38;11.335;17.0
44;"799";"598";"27";115;49;325;355;30;11.856;17.0
45;"508";"98";"20";92;160;326;350;24;9.837;14.0
46;"764";"192";"27";25;115;326;344;18;7.217;10.0
47;"807";"101";"29";14;159;326;358;32;14.148;21.0
48;"42";"463";"3";77;77;327;364;37;10.579;15.0
49;"760";"128";"27";49;115;327;359;32;12.888;19.0
50;"677";"588";"22";160;11;328;357;29;11.288;16.0
51;"588";"484";"21";1;45;330;353;23;8.468;12.0
52;"594";"499";"21";43;1;331;354;23;7.961;11.0
53;"879";"63";"31";66;25;331;350;19;6.708;10.0
54;"447";"140";"14";93;92;332;372;40;11.993;17.0
55;"718";"188";"26";58;72;333;363;30;9.569;14.0
56;"872";"42";"31";42;66;336;350;14;5.729;8.0
57;"141";"196";"4";92;93;337;376;39;12.358;18.0
58;"176";"65";"5";77;92;338;365;27;7.371;11.0
59;"253";"32";"6";93;49;340;371;31;9.521;14.0
60;"265";"62";"6";49;93;340;373;33;9.623;14.0
61;"39";"452";"3";77;77;342;379;37;10.579;15.0
62;"433";"101";"14";93;92;342;382;40;11.993;17.0
63;"363";"68";"7";49;96;345;380;35;11.216;16.0
64;"765";"194";"27";115;49;345;375;30;11.856;17.0
65;"106";"82";"4";92;93;347;386;39;12.358;18.0
66;"753";"108";"27";49;115;347;379;32;12.888;19.0
67;"627";"132";"22";160;11;348;377;29;11.288;16.0
68;"163";"36";"5";92;77;350;375;25;7.504;11.0
69;"474";"28";"16";49;49;350;388;38;11.335;17.0
70;"613";"36";"22";11;160;350;380;30;11.48;17.0
71;"51";"492";"3";77;77;352;389;37;10.579;15.0
72;"358";"34";"7";96;49;352;386;34;11.152;16.0
73;"458";"297";"14";93;92;352;392;40;11.993;17.0
74;"705";"80";"26";58;72;353;383;30;9.569;14.0
75;"242";"6";"6";93;49;355;386;31;9.521;14.0
76;"912";"350";"31";112;63;355;383;28;11.471;17.0
77;"108";"89";"4";92;93;357;396;39;12.358;18.0
78;"150";"6";"5";77;92;358;385;27;7.371;11.0
79;"601";"6";"22";160;11;359;388;29;11.288;16.0
80;"808";"103";"29";159;42;359;382;23;10.305;15.0
81;"543";"376";"21";45;1;360;384;24;8.431;12.0
82;"761";"130";"27";115;49;360;390;30;11.856;17.0
