51
51
0;6;6;6;7;9;9;6;6;9;6;9;9;6;9;6;6;9;9;9;6;9;6;9;6;9;6;9;6;3;6;9;6;9;6;9;9;6;6;9;6;9;6;9;9;6;6;9;3;9;0;
9;10;10;10;3;0;0;10;10;0;10;0;0;10;0;10;10;0;0;0;10;0;10;0;10;0;10;0;10;9;10;0;10;0;10;0;0;10;10;0;10;0;10;0;0;10;10;0;9;0;9;
9;10;10;10;3;0;0;10;10;0;10;0;0;10;0;10;10;0;0;0;10;0;10;0;10;0;10;0;10;9;10;0;10;0;10;0;0;10;10;0;10;0;10;0;0;10;10;0;9;0;9;
9;10;10;10;3;0;0;10;10;0;10;0;0;10;0;10;10;0;0;0;10;0;10;0;10;0;10;0;10;9;10;0;10;0;10;0;0;10;10;0;10;0;10;0;0;10;10;0;9;0;9;
6;1;1;1;8;10;10;1;1;10;1;10;10;1;10;1;1;10;10;10;1;10;1;10;1;10;1;10;1;8;1;10;1;10;1;10;10;1;1;10;1;10;1;10;10;1;1;10;8;10;6;
6;1;1;1;8;10;10;1;1;10;1;10;10;1;10;1;1;10;10;10;1;10;1;10;1;10;1;10;1;8;1;10;1;10;1;10;10;1;1;10;1;10;1;10;10;1;1;10;8;10;6;
6;1;1;1;8;10;10;1;1;10;1;10;10;1;10;1;1;10;10;10;1;10;1;10;1;10;1;10;1;8;1;10;1;10;1;10;10;1;1;10;1;10;1;10;10;1;1;10;8;10;6;
9;10;10;10;3;0;0;10;10;0;10;0;0;10;0;10;10;0;0;0;10;0;10;0;10;0;10;0;10;9;10;0;10;0;10;0;0;10;10;0;10;0;10;0;0;10;10;0;9;0;9;
9;10;10;10;3;0;0;10;10;0;10;0;0;10;0;10;10;0;0;0;10;0;10;0;10;0;10;0;10;9;10;0;10;0;10;0;0;10;10;0;10;0;10;0;0;10;10;0;9;0;9;
6;1;1;1;8;10;10;1;1;10;1;10;10;1;10;1;1;10;10;10;1;10;1;10;1;10;1;10;1;8;1;10;1;10;1;10;10;1;1;10;1;10;1;10;10;1;1;10;8;10;6;
9;10;10;10;3;0;0;10;10;0;10;0;0;10;0;10;10;0;0;0;10;0;10;0;10;0;10;0;10;9;10;0;10;0;10;0;0;10;10;0;10;0;10;0;0;10;10;0;9;0;9;
